index_mode,query_mode,radius_km,fallback,mAP@1k,R@1,R@5,R@10,dist@1km,dist@25km,dist@200km,dist@750km,dist@2500km,empty_rate,mean_candidates,median_candidates,rerank_ms_per_query,geoclip_ms_per_query,s4g_embed_ms_per_query,total_ms_per_query,total_queries
query,one_per_landmark,5.0,fail,0.11132157748321281,0.08,0.143,0.16,0.121,0.227,0.296,0.539,0.877,0.505,4.999,0.0,2.158705852460116,41.482900036964566,11.082319708075374,54.723925597500056,1000
query,one_per_landmark,5.0,fallback_full,0.16016297204673488,0.104,0.213,0.269,0.147,0.261,0.35,0.557,0.858,0.505,4.999,0.0,0.008824207354336977,41.482900036964566,11.082319708075374,52.57404395239428,1000
query,one_per_landmark,25.0,fail,0.1294728453245525,0.09,0.166,0.196,0.131,0.25,0.383,0.632,0.905,0.296,14.304,2.0,0.007271362468600273,41.482900036964566,11.082319708075374,52.57249110750854,1000
query,one_per_landmark,25.0,fallback_full,0.15844774856075397,0.102,0.211,0.268,0.145,0.267,0.409,0.636,0.893,0.296,14.304,2.0,0.007244905922561884,41.482900036964566,11.082319708075374,52.5724646509625,1000
query,one_per_landmark,100.0,fail,0.15386585528892444,0.102,0.201,0.254,0.141,0.257,0.427,0.696,0.931,0.054,29.637,11.0,0.00717172771692276,41.482900036964566,11.082319708075374,52.57239147275686,1000
query,one_per_landmark,100.0,fallback_full,0.15970015223547354,0.104,0.211,0.272,0.143,0.26,0.429,0.696,0.93,0.054,29.637,11.0,0.007194802165031433,41.482900036964566,11.082319708075374,52.57241454720497,1000
query,one_per_landmark,500.0,fail,0.17612649931062638,0.101,0.243,0.311,0.127,0.216,0.345,0.711,0.935,0.0,165.931,136.0,0.007042574230581522,41.482900036964566,11.082319708075374,52.57226231927052,1000
query,one_per_landmark,500.0,fallback_full,0.17612649931062638,0.101,0.243,0.311,0.127,0.216,0.345,0.711,0.935,0.0,165.931,136.0,0.007303848396986723,41.482900036964566,11.082319708075374,52.57252359343693,1000
query,one_per_landmark,2000.0,fail,0.1322143595156157,0.063,0.186,0.272,0.082,0.154,0.228,0.467,0.929,0.0,625.049,705.0,0.0071759955026209354,41.482900036964566,11.082319708075374,52.57239574054256,1000
query,one_per_landmark,2000.0,fallback_full,0.1322143595156157,0.063,0.186,0.272,0.082,0.154,0.228,0.467,0.929,0.0,625.049,705.0,0.0070152669213712215,41.482900036964566,11.082319708075374,52.57223501196131,1000
query,one_per_landmark,inf,fail,0.11344156704596652,0.053,0.157,0.234,0.068,0.131,0.184,0.388,0.772,0.0,1000.0,1000.0,0.00715227285400033,41.482900036964566,11.082319708075374,52.57237201789394,1000
query,one_per_landmark,inf,fallback_full,0.11344156704596652,0.053,0.157,0.234,0.068,0.131,0.184,0.388,0.772,0.0,1000.0,1000.0,0.006813726853579283,41.482900036964566,11.082319708075374,52.57203347189352,1000
query,all,5.0,fail,0.1714248929499864,0.132544948630137,0.21024186643835616,0.2479130993150685,0.1975064212328767,0.3462649828767123,0.3959225171232877,0.6192744006849316,0.875535102739726,0.3928189212328767,9.119381421232877,1.0,0.006932933140651336,26.84911767224947,8.83927891865749,35.695329524047615,18688
query,all,5.0,fallback_full,0.20643205605886614,0.14982876712328766,0.2607555650684932,0.320580051369863,0.21805436643835616,0.3760702054794521,0.4465967465753425,0.6193814212328768,0.8550406678082192,0.3928189212328767,9.119381421232877,1.0,0.006785740293857438,26.84911767224947,8.83927891865749,35.69518233120082,18688
query,all,25.0,fail,0.17968413240943676,0.1328660102739726,0.2264554794520548,0.2706014554794521,0.1948309075342466,0.367455051369863,0.4505565068493151,0.673747859589041,0.8930329623287672,0.22404751712328766,20.897474315068493,4.0,0.006896541641278779,26.84911767224947,8.83927891865749,35.695293132548244,18688
query,all,25.0,fallback_full,0.19928074782141744,0.1424978595890411,0.2543878424657534,0.3110552226027397,0.2068707191780822,0.3835081335616438,0.476027397260274,0.6652932363013698,0.8827054794520548,0.22404751712328766,20.897474315068493,4.0,0.006967729361399319,26.84911767224947,8.83927891865749,35.69536432026836,18688
query,all,100.0,fail,0.19308652432435736,0.1363976883561644,0.2515517979452055,0.3053831335616438,0.19777397260273974,0.3668129280821918,0.4817529965753425,0.7087435787671232,0.9079623287671232,0.03205265410958904,35.78515625,17.0,0.006946625271915739,26.84911767224947,8.83927891865749,35.69534321617888,18688
query,all,100.0,fallback_full,0.19711296232763792,0.1386986301369863,0.2572238869863014,0.3132491438356164,0.20018193493150685,0.3695419520547945,0.4856592465753425,0.7103488869863014,0.9094606164383562,0.03205265410958904,35.78515625,17.0,0.006946785342983251,26.84911767224947,8.83927891865749,35.695343376249944,18688
query,all,500.0,fail,0.18206919231182375,0.10627140410958905,0.2549229452054795,0.3401648116438356,0.1560359589041096,0.288794948630137,0.3896618150684932,0.711740154109589,0.9144905821917808,0.0002675513698630137,174.77916309931507,140.0,0.006991148999475951,26.84911767224947,8.83927891865749,35.69538773990644,18688
query,all,500.0,fallback_full,0.18207321197198448,0.10627140410958905,0.2549229452054795,0.3401648116438356,0.1560359589041096,0.288794948630137,0.3896618150684932,0.7117936643835616,0.9145440924657534,0.0002675513698630137,174.77916309931507,140.0,0.007119664363403588,26.84911767224947,8.83927891865749,35.69551625527036,18688
query,all,2000.0,fail,0.1298794949247134,0.060199058219178085,0.18220248287671234,0.2680329623287671,0.0958369006849315,0.20200128424657535,0.2610766267123288,0.4972174657534247,0.9099422089041096,0.0002675513698630137,622.0050299657535,705.0,0.00696610497894429,26.84911767224947,8.83927891865749,35.695362695885905,18688
